model,questions,mean_f1_without_impossible,mean_f1_with_impossible,mean_est_cost_per_q_usd,mean_elapsed_s_per_q
devstral-2:123b-cloud,151,0.6027548209366391,0.6088300220750552,0.009793456953642385,10.124437465002476
gemini-3-flash-preview:cloud,151,0.6467517971224738,0.5911057447140352,0.11983057003973509,117.95739571218277
glm-4.7:cloud,151,0.7207701149146432,0.6437959198984889,0.019147918807947018,31.71449853313026
gpt-oss:120b-cloud,151,0.647781832720392,0.5786861043653473,0.011625573781456953,45.300292785258634
kimi-k2.5:cloud,151,0.7377909040604843,0.6508125787504543,0.016835616953642385,64.72649294069107
ministral-3:14b-cloud,151,0.5030059323812361,0.5421438266101297,0.005565654688741721,14.293448388798545
ministral-3:3b-cloud,151,0.41416181636903265,0.39148066079902616,0.0020578976754966885,9.05713582227611
ministral-3:8b-cloud,151,0.19944903581267218,0.3518763796909492,0.001907823774834437,8.993181552123493
nemotron-3-nano:30b-cloud,151,0.226932097663838,0.3275416146842675,0.008841829801324504,43.74412805549662
qwen3-coder-next:cloud,151,0.5175530237524998,0.5538007673778309,0.011527113728476823,101.95950560732467
