model,direct_f1,hop_f1,query_builder_f1,impossible_f1,all_without_impossible_prf,all_with_impossible_prf
devstral-2:123b-cloud,0.863157894736842,0.6008771929824561,0.3844444444444445,0.6333333333333333,0.934/0.605/0.603,0.874/0.684/0.609
gemini-3-flash-preview:cloud,0.5736262826878518,0.6616449244628592,0.6959258128909401,0.36666666666666664,0.712/0.844/0.647,0.643/0.875/0.591
glm-4.7:cloud,0.868421052631579,0.6757932532055339,0.6340675618413673,0.3333333333333333,0.710/0.909/0.721,0.635/0.927/0.644
gpt-oss:120b-cloud,0.7761971774355675,0.4750663655875907,0.6851908249841648,0.3,0.816/0.716/0.648,0.714/0.772/0.579
kimi-k2.5:cloud,0.9288894405825885,0.6929172954432822,0.6143120760519002,0.3,0.722/0.870/0.738,0.638/0.896/0.651
ministral-3:14b-cloud,0.664389338731444,0.39008097165991906,0.4620854671835064,0.7,0.881/0.526/0.503,0.845/0.621/0.542
ministral-3:3b-cloud,0.7314439946018894,0.3548782803275743,0.1962962962962963,0.3,0.856/0.442/0.414,0.745/0.553/0.391
ministral-3:8b-cloud,0.23157894736842108,0.10701754385964912,0.2503703703703704,0.9666666666666667,0.939/0.211/0.199,0.944/0.368/0.352
nemotron-3-nano:30b-cloud,0.3,0.20319917440660476,0.1852714486638537,0.7333333333333333,0.898/0.223/0.227,0.866/0.378/0.328
qwen3-coder-next:cloud,0.5245614035087719,0.3436309304730358,0.6585023818387508,0.7,0.804/0.620/0.518,0.784/0.696/0.554
